[00:00.00 - 00:02.24] 就人现在是一个不称职的医生了
[39:08.44 - 39:09.44] 对
[39:09.44 - 39:10.44] 其实本来其实是
[39:10.44 - 39:11.44] 很多时候的VA
[39:11.44 - 39:12.44] L已经几个元素
[39:12.44 - 39:13.44] 也在变化
[39:13.44 - 39:14.44] 我们说的L在变化
[39:14.44 - 39:15.44] 就不是和我们蓝贵去
[39:15.44 - 39:16.44] 而VL这些老实
[39:16.44 - 39:17.44] 因为它最容易收集
[39:17.44 - 39:18.44] 人类的远数距
[39:18.44 - 39:19.44] 所以它做了一个
[39:19.44 - 39:20.44] 很好的期待
[39:20.44 - 39:21.44] 它后面
[39:21.44 - 39:22.44] 比如从工程实验角度
[39:22.44 - 39:23.44] 从18号
[39:23.44 - 39:24.44] 回发完再办了
[39:24.44 - 39:25.44] 就是为了这个事
[39:25.44 - 39:26.44] 然后教得我
[39:26.44 - 39:27.44] 还想请教的
[39:27.44 - 39:28.44] 就说刚才其实
[39:28.44 - 39:29.44] 你也讲到了一个
[39:29.44 - 39:31.44] 就是我们这个世界目前
[39:31.44 - 39:32.44] 2.0展现的这个方向
[39:32.44 - 39:33.44] 让我们的这个
[39:33.44 - 39:35.44] 人类的工程是这个绝图
[39:35.44 - 39:36.44] 它可能1.0的时候
[39:36.44 - 39:37.44] 还是一个
[39:37.44 - 39:38.44] 加上教练
[39:38.44 - 39:40.44] 2.0是一个数据的
[39:40.44 - 39:42.44] 定向数据的这个采集约
[39:42.44 - 39:43.44] 收集约
[39:43.44 - 39:44.44] 那在这个过程里面
[39:44.44 - 39:46.44] 我们怎么样去确保
[39:46.44 - 39:47.44] 这个是AI这个
[39:47.44 - 39:49.44] 就是在我们的这个
[39:49.44 - 39:50.44] 信息的AI
[39:50.44 - 39:51.44] 在这个
[39:51.44 - 39:52.44] 切记匹类似的这个
[39:52.44 - 39:53.44] 就超级对齐
[39:53.44 - 39:54.44] 或对齐是一个
[39:54.44 - 39:56.44] 被犯了很重的一个概念
[39:56.44 - 39:58.44] 在我们的这个
[39:58.44 - 39:59.44] 就是物理的这个AI
[39:59.44 - 40:00.44] 或中央价值
[40:00.44 - 40:01.44] 这个里面
[40:01.44 - 40:02.44] 就是有没有对齐
[40:02.44 - 40:03.44] 这么一个概念
[40:03.44 - 40:04.44] 或者需不需要做这个概念
[40:04.44 - 40:06.44] 就确保我们的这个AI系统
[40:06.44 - 40:09.44] 它始终是处在一个
[40:09.44 - 40:11.44] 维护人类或者是维护这个
[40:11.44 - 40:12.44] 好问题
[40:12.44 - 40:13.44] 此对齐为比对齐
[40:13.44 - 40:15.44] 对齐的可能是需要是
[40:15.44 - 40:16.44] 如何什么开得好
[40:16.44 - 40:18.44] 算好的这个标准
[40:18.44 - 40:20.44] 而不是价值的行为
[40:20.44 - 40:21.44] 所以简单说
[40:21.44 - 40:23.44] 如果我这里指的对齐者
[40:23.44 - 40:24.44] 是行为之间的对齐
[40:24.44 - 40:25.44] 那早就不需要了
[40:25.44 - 40:27.44] 或者说这也不是正确的方向
[40:27.44 - 40:29.44] 但是什么叫好的这个对齐
[40:29.44 - 40:30.44] 确实还是需要人
[40:30.44 - 40:31.44] 跟它有一定的这个
[40:31.44 - 40:32.44] 人的概念
[40:32.44 - 40:34.44] 但其实这个东西
[40:34.44 - 40:35.44] 人对好不好这个维度
[40:35.44 - 40:36.44] 是非常低的
[40:36.44 - 40:37.44] AI可以就是
[40:37.44 - 40:38.44] 甚至现在很早就
[40:38.44 - 40:39.44] 可以基于人的维度
[40:39.44 - 40:41.44] 它在做很多的扩展
[40:41.44 - 40:42.44] 把它做得更好
[40:42.44 - 40:43.44] 但它永远不会
[40:43.44 - 40:44.44] 820来自人的这个维度
[40:44.44 - 40:45.44] 这个其实是
[40:45.44 - 40:47.44] 在剧场不得关交对齐
[40:47.44 - 40:48.44] 但可以打到那个对齐效果
[40:48.44 - 40:49.44] 但其实是在
[40:49.44 - 40:50.44] 评价标准上
[40:50.44 - 40:52.44] 而不是在开这行为上
[40:52.44 - 40:53.44] 评价的标准上
[40:53.44 - 40:54.44] 所以它的行为上
[40:54.44 - 40:55.44] 绝对不会在旧的人
[40:55.44 - 40:56.44] 这么开
[40:56.44 - 40:58.44] 而且评价的标准上
[40:58.44 - 41:00.44] 听你的也只是很低的维度
[41:00.44 - 41:02.44] 就是能提供些对基本原色
[41:02.44 - 41:03.44] 它觉得好
[41:03.44 - 41:04.44] 更高的人也提不出来了
[41:04.44 - 41:05.44] 所以它能提供其实
[41:05.44 - 41:06.44] 具体的做得更好
[41:06.44 - 41:08.44] 所以假设了
[41:08.44 - 41:09.44] 就假设我们那个
[41:09.44 - 41:11.44] 就是按照现在的这个水平
[41:11.44 - 41:12.44] 或者是我们按照
[41:12.44 - 41:13.44] 未来以后
[41:13.44 - 41:15.44] 给这个火星设计一套
[41:15.44 - 41:16.44] 整个驾驶系统
[41:16.44 - 41:18.44] 或者交通系统的这个水平
[41:18.44 - 41:19.44] 它其实上是
[41:19.44 - 41:20.44] AI的那个维度
[41:20.44 - 41:21.44] 或AI设计的这个水平
[41:21.44 - 41:23.44] 就是它整个的一个
[41:23.44 - 41:24.44] 评价标准
[41:24.44 - 41:29.44] 好问题
[41:29.44 - 41:30.44] 首先这个事可能短期
[41:30.44 - 41:31.44] 真的也不会发生了
[41:31.44 - 41:33.44] 这次就是
[41:33.44 - 41:34.44] 就假设了
[41:34.44 - 41:35.44] 就假设了
[41:35.44 - 41:36.44] 对
[41:36.44 - 41:37.44] 就是我们如果
[41:37.44 - 41:38.44] 因为现在的很长限制的人
[41:38.44 - 41:39.44] 还是就是人
[41:39.44 - 41:40.44] 就是自动战者被动战者
[41:40.44 - 41:42.44] 还会持续出现
[41:42.44 - 41:43.44] 这个时候还是要以
[41:43.44 - 41:45.44] 对现在交通的一种
[41:45.44 - 41:46.44] 危机处
[41:46.44 - 41:47.44] 来做了一些感觉
[41:47.44 - 41:48.44] 就不能挖掠了
[41:48.44 - 41:49.44] 现在任何交通都不知道
[41:49.44 - 41:51.44] 但如果有一天可以
[41:51.44 - 41:52.44] 比如说
[41:52.44 - 41:53.44] 跟现在不
[41:53.44 - 41:54.44] 为一致的方式发生的话
[41:54.44 - 41:55.44] 那确实
[41:55.44 - 41:57.44] 我把那新的开启了新的空间
[41:57.44 - 41:59.44] 但这个时间可能需要
[41:59.44 - 42:00.44] 真正在
[42:00.44 - 42:02.44] 决大部分车
[42:02.44 - 42:03.44] 都是自动战士的
[42:03.44 - 42:04.44] 对不对
[42:04.44 - 42:05.44] 如果先真是火轻要学来自动战士
[42:05.44 - 42:07.44] 那可能是另一套故事
[42:07.44 - 42:08.44] 我现在也
[42:08.44 - 42:09.44] 但这个需要非常长时间
[42:09.44 - 42:10.44] 是
[42:10.44 - 42:11.44] 我现在也开辅助架式的车
[42:11.44 - 42:12.44] 然后
[42:12.44 - 42:13.44] 现在在辅助架式
[42:13.44 - 42:14.44] 这个领域里面
[42:14.44 - 42:15.44] 很多开始标配
[42:15.44 - 42:16.44] 那个蓝灯
[42:16.44 - 42:17.44] 就是这个
[42:17.44 - 42:18.44] 就是小蓝灯
[42:18.44 - 42:19.44] 然后你会知道
[42:19.44 - 42:20.44] 它是在处于一个
[42:20.44 - 42:21.44] 自动架式
[42:21.44 - 42:22.44] 或者辅助架式的一个状态的
[42:22.44 - 42:24.44] 然后这个往往的时候
[42:24.44 - 42:25.44] 如果有一些
[42:25.44 - 42:26.44] 场景我需要
[42:26.44 - 42:28.44] 就是要加塞
[42:28.44 - 42:29.44] 然后我可能会优先去
[42:29.44 - 42:30.44] 加塞这些
[42:30.44 - 42:32.44] 蓝灯的这个车
[42:32.44 - 42:33.44] 所以我一直感觉
[42:33.44 - 42:34.44] 就是在
[42:34.44 - 42:35.44] 我们现在人类的这个
[42:35.44 - 42:36.44] 交通系统里面
[42:36.44 - 42:37.44] 其实最复杂
[42:37.44 - 42:38.44] 或者是
[42:38.44 - 42:39.44] 或者是
[42:39.44 - 42:40.44] 八个吧
[42:40.44 - 42:41.44] 其实是人类的这个
[42:41.44 - 42:42.44] 架式要本身
[42:42.44 - 42:43.44] 其实也说是厉害的
[42:43.44 - 42:44.44] 就是人其实现在
[42:44.44 - 42:45.44] 更多人喜欢
[42:45.44 - 42:46.44] 跟AI配合了
[42:46.44 - 42:47.44] 不是人配合
[42:47.44 - 42:48.44] 就是我今天老举例子
[42:48.44 - 42:49.44] 说
[42:49.44 - 42:50.44] 阿富汗
[42:50.44 - 42:51.44] 下期是对抗嘛
[42:51.44 - 42:52.44] 但其实在配合上
[42:52.44 - 42:53.44] 已经表明了
[42:53.44 - 42:54.44] 人更喜欢
[42:54.44 - 42:55.44] 更多的AI配合
[42:55.44 - 42:56.44] 我觉得AI
[42:56.44 - 42:57.44] 更懂人
[42:57.44 - 42:58.44] 更懂AI
[42:58.44 - 42:59.44] 其实已经发生了这个时间了
[42:59.44 - 43:00.44] 然后我那个
[43:00.44 - 43:01.44] 你们在讲到这个
[43:01.44 - 43:02.44] 也发人员
[43:02.44 - 43:03.44] 就是成为这个
[43:03.44 - 43:04.44] 世界模型的这个
[43:04.44 - 43:05.44] 数据的这个
[43:05.44 - 43:06.44] 数据
[43:06.44 - 43:07.44] 数据
[43:07.44 - 43:08.44] 数据
[43:08.44 - 43:09.44] 数据是一种
[43:09.44 - 43:10.44] 兴趣的价值
[43:10.44 - 43:11.44] 是一部分人变的
[43:11.44 - 43:12.44] 一部分
[43:12.44 - 43:13.44] 不能做車带模型的
[43:13.44 - 43:14.44] 地坡的优化
[43:14.44 - 43:15.44] 他们做起来
[43:15.44 - 43:16.44] 更重要的事情
[43:16.44 - 43:17.44] 我只是说一部分了
[43:17.44 - 43:18.44] 所以对于
[43:18.44 - 43:19.44] 你们一直是以一个
[43:19.44 - 43:20.44] 以这个天才驻成的
[43:20.44 - 43:21.44] 那么一个团队
[43:21.44 - 43:22.44] 或者是这么一个
[43:22.44 - 43:23.44] 很高水平的
[43:23.44 - 43:24.44] 这么一个
[43:24.44 - 43:25.44] 演发的这个团队
[43:25.44 - 43:26.44] 这个会降低
[43:26.44 - 43:27.44] 就是在未来
[43:27.44 - 43:28.44] 这个中东价值的
[43:28.44 - 43:30.44] 这个天才的这个需求度
[43:30.44 - 43:31.84] 就不居然縱價市
[43:31.84 - 43:35.84] 而是其實人要換一種方式跟壓配合
[43:35.84 - 43:38.14] 在壓市場的地方要與壓壓的為主導
[43:38.14 - 43:40.44] 其他地方要想辦法去價源壓
[43:40.44 - 43:42.34] 這其實不是這個就是某一個行業
[43:42.34 - 43:43.34] 和公司的變化
[43:43.34 - 43:44.34] 這就是在整個壓法
[43:44.34 - 43:46.84] 那今天人需要改做的改變
[43:46.84 - 43:48.54] 應該說在這過去改變中
[43:48.54 - 43:50.84] 真正能懂得如何價源壓壓的人才會成為
[43:50.84 - 43:52.74] 下一代的真正人才
[43:52.74 - 43:55.54] 這是個巨大的一個技術的革命
[43:55.54 - 43:58.94] 就是如果還算在曲線的縱動價值這個領域
[43:58.94 - 44:01.94] 就是剛才這個方式上就是比如說
[44:01.94 - 44:03.94] 我這個我也有一套
[44:03.94 - 44:06.04] 你們這樣的一個世界模型的2.0
[44:06.04 - 44:08.34] 就類似的就是由於你們現在把它名牌化了
[44:08.34 - 44:09.44] 大家都看到了
[44:09.44 - 44:10.14] 然後呢
[44:10.14 - 44:11.54] 可能對於這個天才的需求
[44:11.54 - 44:13.54] 像你這樣天才程序員的這個
[44:13.54 - 44:14.74] 就是需求門卡
[44:14.74 - 44:15.54] 也降低了
[44:15.54 - 44:16.54] 它沒有那麼
[44:16.54 - 44:17.64] 就不需要十個這樣
[44:17.64 - 44:18.84] 你或類似這樣
[44:18.84 - 44:21.14] 那就是二十個這個搖搬的這個人才能
[44:21.14 - 44:22.54] 去做這樣的事情
[44:22.54 - 44:23.84] 然後在這個過程裡面
[44:23.84 - 44:25.34] 我一方面以為
[44:25.34 - 44:27.54] 這種價值的從業的門卡
[44:27.54 - 44:29.54] 就入這個絕的門卡被降低了
[44:29.54 - 44:30.34] 但另外一方面
[44:30.34 - 44:33.24] 好像你們在構建的這個世界模型2.0的
[44:33.24 - 44:35.74] 這個裡面就從你們的這個落地運營的
[44:35.74 - 44:37.64] 這個車的這個數量
[44:37.64 - 44:38.04] 然後呢
[44:38.04 - 44:39.44] 它緩快的這個數據
[44:39.44 - 44:42.04] 然後精度的鐵袋的結合你們的世界模型的
[44:42.04 - 44:44.04] 其實它好像畢了又增加了
[44:44.04 - 44:45.44] 其實是優勢被轉移了
[44:45.44 - 44:46.54] 那其實就是說
[44:46.54 - 44:47.84] 也需要很多的頂潔人
[44:47.84 - 44:50.24] 但他們的做的事會跟之前會率有不同
[44:50.24 - 44:51.84] 其實是把技術優勢主播爪的
[44:51.84 - 44:52.94] 跟全面的優勢
[44:52.94 - 44:54.44] 其實是優勢轉的過程
[44:54.44 - 44:55.64] 那對於你們二眼
[44:55.64 - 44:57.54] 就比如說對於小馬這家公司二眼
[44:57.54 - 44:59.34] 之前大家去討論的時候
[44:59.34 - 45:01.44] 就覺得我們這種價值這個領域
[45:01.44 - 45:03.64] 正在面臨一些就是新的這個
[45:03.64 - 45:05.94] 被洗牌或者是被這個衝擊
[45:05.94 - 45:07.24] 有新的氣勢貨
[45:07.24 - 45:10.44] 就是當之前更多講的是這個叫做
[45:10.44 - 45:13.44] R2這個鎮雲這個領域的這個衝擊
[45:13.44 - 45:14.94] 然後現在的話就是
[45:14.94 - 45:17.74] 我們拿出這個世界模型2.0的這個之後
[45:17.74 - 45:20.54] 就是你們也把它叫做一個精度的飛輪
[45:20.54 - 45:23.64] 這個是不是一位的就是你們的護城合會
[45:23.74 - 45:25.54] 而且我看到補課裡面其實
[45:25.54 - 45:27.34] 其次先明的就是還是
[45:27.34 - 45:30.34] 把幾乎愛錄的寫到了這個結構性的這個護城合
[45:31.34 - 45:32.34] 是這樣的嗎
[45:33.94 - 45:36.04] 首先至少或者說手下
[45:36.04 - 45:37.94] 或者本身也是經過發展
[45:37.94 - 45:40.84] 但我更重要就是沿著原來的思度
[45:40.84 - 45:42.44] 或者早期的思度不變
[45:42.44 - 45:43.94] 想繼續通過一個思度
[45:43.94 - 45:45.14] 一趟到走往家走
[45:45.14 - 45:46.94] 通過一些亮的優勢
[45:46.94 - 45:49.24] 這個其實再次證明其實是走通的
[45:49.24 - 45:50.94] 或者大家其實就至少你就要一些
[45:50.94 - 45:52.94] 思度改變多人的角色改變
[45:52.94 - 45:56.64] 跟AI配合做的方式的改變才能做得更好
[45:56.64 - 45:58.20] 我覺得這個護城合這個護城更好
[45:58.20 - 46:01.94] 本來是如果大家還是按照舊的方法
[46:01.94 - 46:02.94] 舊的錄境的話
[46:02.94 - 46:04.94] 其實很快你就會通到電話板
[46:04.94 - 46:06.44] 從這個角度回答
[46:06.44 - 46:07.94] 舊的錄境就是類似的
[46:07.94 - 46:09.94] 現在說了全靠收益數據
[46:09.94 - 46:12.14] 其實那都不是我很多家都已經否定
[46:12.14 - 46:13.34] 這個錄境了
[46:13.34 - 46:15.54] 那我現在說就是全靠就是說
[46:15.54 - 46:17.84] 人來去動員發電事情
[46:17.84 - 46:19.94] 時間久了你也會遇到電話板
[46:19.94 - 46:21.94] 就核心還是競速的就是
[46:21.94 - 46:23.94] 比如說競爭的核心技術的
[46:23.94 - 46:25.94] 這個組長場發生了變化
[46:25.94 - 46:28.94] 心裡它的做法思路整個方式
[46:28.94 - 46:29.94] 不光是在具體功力
[46:29.94 - 46:30.94] 如果兄弟二十甚至在
[46:30.94 - 46:33.44] 如何的AI配合這種方式都發生了變化
[46:33.44 - 46:34.94] 這個如果不跟上
[46:34.94 - 46:36.94] 我也會是將來回到電話板
[46:36.94 - 46:39.44] 將來的話就走過這個變化的人
[46:39.44 - 46:40.94] 也會有這樣的必須
[46:40.94 - 46:44.44] 就是現在或者是2025年
[46:44.44 - 46:45.44] 差不多這個世界一點
[46:45.44 - 46:48.94] 還有一些剛開始錄取說是用駕駛的
[46:48.94 - 46:50.94] 如果說從你的這個層面來講
[46:50.94 - 46:52.94] 我假設性的提個問題
[46:52.94 - 46:54.94] 就是你是此時此刻
[46:54.94 - 46:56.94] 就你已經知道了這個世界模型的
[46:56.94 - 46:58.94] 這個動茶會有這個觀點
[46:58.94 - 46:59.94] 或者有這個認知
[46:59.94 - 47:01.94] 你再去做這種家屬會有什麼不同
[47:02.94 - 47:04.94] 首先這個世界上沒有這種
[47:04.94 - 47:05.94] 什麼道路機會
[47:05.94 - 47:06.94] 當著一些政治
[47:06.94 - 47:07.94] 我覺得也被證明了
[47:07.94 - 47:09.94] 是需要通過發展的階段
[47:09.94 - 47:10.94] 逐步提升的
[47:10.94 - 47:12.94] 比如說早點看很多家庭
[47:12.94 - 47:14.94] 還是說的吧手機人員數據模仿
[47:14.94 - 47:15.94] 就能夠行
[47:15.94 - 47:17.94] 但慢慢小今天大家越來越多
[47:17.94 - 47:19.94] 多人們開了手機人工的過程
[47:19.94 - 47:21.94] 那今天可能因為他們的車
[47:21.94 - 47:23.94] 或者說大部分家的車
[47:23.94 - 47:24.94] 還沒有到一個
[47:24.94 - 47:25.94] 人不能碰到好的狀態
[47:25.94 - 47:26.94] 所以他會覺得這樣
[47:26.94 - 47:27.94] 也可以
[47:27.94 - 47:29.94] 但是去到有一天天也會有這個認為
[47:29.94 - 47:31.94] 但如果我有一天回到
[47:31.94 - 47:33.94] 真的能帶著記憶回到過去的話
[47:33.94 - 47:34.94] 我覺得就是
[47:34.94 - 47:36.94] 也許可以不走一些觀落
[47:36.94 - 47:37.94] 但是實際上我覺得
[47:37.94 - 47:38.94] 我也需要團隊
[47:38.94 - 47:40.94] 他們自己意識到這件事情
[47:40.94 - 47:42.94] 就是說因為就是按著
[47:42.94 - 47:43.94] 原來的方法覺得走
[47:43.94 - 47:44.94] 我們鋪你也走過
[47:44.94 - 47:45.94] 四年模仿學協助我
[47:45.94 - 47:46.94] 就是我們覺得
[47:46.94 - 47:47.94] 就是這些也不是沒有用
[47:47.94 - 47:48.94] 而是這因為走過了
[47:48.94 - 47:49.94] 我它真正理解了
[47:49.94 - 47:50.94] 對吧為什麼強化
[47:50.94 - 47:52.94] 我們也走了很多年
[47:52.94 - 47:53.94] 比如人來驅動開發
[47:53.94 - 47:55.94] 讓幫我們理解的這個事
[47:55.94 - 47:56.94] 讓人來做是必要的
[47:56.94 - 47:57.94] 還是有一些這樣的
[47:57.94 - 47:58.94] 就是說
[47:58.94 - 48:00.94] 一個團隊把他的整身的
[48:00.94 - 48:01.94] 這種理解離活
[48:01.94 - 48:03.94] 對一個認知的進步
[48:03.94 - 48:05.94] 所以也是要經歷一些事才能建立的
[48:05.94 - 48:07.94] 現在與整個你們
[48:07.94 - 48:08.94] 這一個十年
[48:08.94 - 48:10.94] 這種駕駛的這個探索的過程
[48:10.94 - 48:12.94] 無論是從這個模仿學習
[48:12.94 - 48:13.94] 然後到後來
[48:13.94 - 48:14.94] 你們講的一點點
[48:14.94 - 48:15.94] 你這個階段到現在
[48:15.94 - 48:16.94] 二點點這個階段
[48:16.94 - 48:17.94] 這個問題很好
[48:17.94 - 48:19.94] 調到外國就是這個不一句
[48:19.94 - 48:21.94] 也許知道整個發展過程
[48:21.94 - 48:23.94] 可能是一共是真正的別人
[48:23.94 - 48:26.94] 就是說
[48:26.94 - 48:28.94] 如何知道後面如果發展
[48:28.94 - 48:29.94] 需要基於你之前
[48:29.94 - 48:31.94] 一步到這兒的經歷了很多經歷
[48:31.94 - 48:32.94] 很多的腦號
[48:32.94 - 48:33.94] 很多的 learning 才照下去
[48:33.94 - 48:34.94] 怎麼走
[48:34.94 - 48:36.94] 而這個經歷整個過程的經歷
[48:36.94 - 48:38.94] 可能才是非常獨特的
[48:38.94 - 48:40.94] 不特的財富
[48:40.94 - 48:41.94] 就這個腦號的這個過程
[48:41.94 - 48:42.94] 對 是過程
[48:42.94 - 48:44.94] 不就是最後這個點
[48:44.94 - 48:45.94] 是
[48:45.94 - 48:47.94] 所以我其實剛才想表達的
[48:47.94 - 48:48.94] 就是或者我感慨的
[48:48.94 - 48:49.94] 就覺得
[48:49.94 - 48:51.94] 在整個你們這個技術方式
[48:51.94 - 48:52.94] 演變的這個過程裡面
[48:52.94 - 48:53.94] 其實它就是
[48:53.94 - 48:56.94] 不斷地去解決問題的一個過程
[48:56.94 - 48:57.94] 或者是遇到了平靜
[48:57.94 - 48:59.94] 你剛才講到那個被逼的
[48:59.94 - 49:00.94] 可惜了這個
[49:00.94 - 49:03.94] 那你們實現了這個演變
[49:03.94 - 49:05.94] 對 確實在確實是被逼的
[49:05.94 - 49:07.94] 但這個被逼可不止一次
[49:07.94 - 49:09.94] 所以在很多次被逼的過程中
[49:09.94 - 49:10.94] 不斷地發生一個
[49:10.94 - 49:11.94] 應該說一種進化
[49:11.94 - 49:12.94] 一種生化
[49:12.94 - 49:13.94] 超越的原來的方式
[49:13.94 - 49:14.94] 先走
[49:14.94 - 49:15.94] 在這個過程裡面
[49:15.94 - 49:16.94] Skelling Law的這個
[49:16.94 - 49:17.94] 在你們的這個裡面
[49:17.94 - 49:18.94] 會有作用
[49:18.94 - 49:19.94] 或你怎麼看Skelling Law
[49:19.94 - 49:20.94] 在你們這個裡面
[49:20.94 - 49:22.94] 有沒有什麼樣的一個幫助
[49:22.94 - 49:23.94] 什麼呢
[49:23.94 - 49:24.94] 應該說
[49:24.94 - 49:25.94] 在小量的時候
[49:25.94 - 49:27.94] 會增加會用
[49:27.94 - 49:28.94] 大量之後
[49:28.94 - 49:29.94] 尤其在這種
[49:29.94 - 49:30.94] 這種出作程度
[49:30.94 - 49:31.94] 很高的場景
[49:31.94 - 49:32.94] 它其實被多次被證明
[49:32.94 - 49:33.94] 當靠增加數據
[49:33.94 - 49:34.94] 其實為什麼幫助
[49:34.94 - 49:35.94] 需要的是
[49:35.94 - 49:36.94] 訓練犯罪
[49:36.94 - 49:37.94] 需要的是哈喀反吃
[49:37.94 - 49:38.94] 需要的是其他的改變
[49:38.94 - 49:39.94] 是
[49:40.94 - 49:41.94] 或者說
[49:41.94 - 49:42.94] 它不是沒用
[49:42.94 - 49:43.94] 而是它
[49:43.94 - 49:44.94] 可能早期的用處
[49:44.94 - 49:45.94] 大一些
[49:45.94 - 49:46.94] 後期它可能被其他因素
[49:46.94 - 49:47.94] 所到的那些
[49:47.94 - 49:49.94] 其他才能佔主導的因素
[49:49.94 - 49:50.94] 就像那於
[49:50.94 - 49:51.94] 每次要改變這個
[49:51.94 - 49:53.94] 就是要提升一個放速的時候
[49:53.94 - 49:54.94] 它是需要有一些
[49:54.94 - 49:55.94] 創新
[49:55.94 - 49:56.94] 有些新的創新
[49:56.94 - 49:57.94] 應該不是改變
[49:57.94 - 49:58.94] 不是只是新加量
[49:58.94 - 49:59.94] 然後這個
[49:59.94 - 50:00.94] 我想那個開啟
[50:00.94 - 50:01.94] 因為
[50:01.94 - 50:02.94] 就是下一趴的話
[50:02.94 - 50:03.94] 可能就核心就是在
[50:03.94 - 50:04.94] 我們在介紹
[50:04.94 - 50:05.94] 這個世界某些2.0的時候
[50:05.94 - 50:06.94] 也讓我感到
[50:06.94 - 50:07.94] 很新喜的
[50:07.94 - 50:08.94] 就是
[50:08.94 - 50:09.94] 我們小馬現在
[50:09.94 - 50:10.94] 要打開心的
[50:10.94 - 50:11.94] 這個相見了
[50:11.94 - 50:12.94] 就是裡面
[50:12.94 - 50:13.94] 在柏文裡面
[50:13.94 - 50:14.94] 也談到了說
[50:14.94 - 50:15.94] 我們
[50:15.94 - 50:16.94] 就是不再舉現於
[50:16.94 - 50:17.94] 會優化這個
[50:17.94 - 50:18.94] 自動駕駛的場景
[50:18.94 - 50:19.94] 然後
[50:19.94 - 50:20.94] 我想先問的是
[50:20.94 - 50:21.94] 說這個
[50:21.94 - 50:22.94] 之前我們一直是在
[50:22.94 - 50:23.94] 這個
[50:23.94 - 50:24.94] 優化這個
[50:24.94 - 50:25.94] 自動駕駛的場景
[50:25.94 - 50:26.94] 其實我們是
[50:26.94 - 50:27.94] 非常的這個
[50:27.94 - 50:28.94] 聚焦的
[50:28.94 - 50:29.94] 我們知道我們就是
[50:29.94 - 50:30.94] 扛掉了很多東西
[50:30.94 - 50:31.94] 會不做了很多東西
[50:31.94 - 50:32.94] 那現在呢
[50:32.94 - 50:33.94] 其實要面向
[50:33.94 - 50:34.94] 更大的場景
[50:34.94 - 50:35.94] 開始
[50:35.94 - 50:36.94] 就是待用物理
[50:36.94 - 50:37.94] 或類似的這些
[50:37.94 - 50:38.94] 這個的核心原因
[50:38.94 - 50:39.94] 是什麼
[50:39.94 - 50:40.94] 就是我們之前
[50:40.94 - 50:41.94] 比如說我們沒有
[50:41.94 - 50:42.94] 跨出這一步
[50:42.94 - 50:43.94] 核心的這個
[50:43.94 - 50:44.94] 平靜的問題是什麼
[50:44.94 - 50:46.94] 新問題
[50:46.94 - 50:47.94] 我覺得就是
[50:47.94 - 50:48.94] 自動駕駛的
[50:48.94 - 50:49.94] 物理
[50:49.94 - 50:50.94] 最排練
[50:50.94 - 50:51.94] 最先鋒的應用
[50:51.94 - 50:52.94] 先鋒應用都做不好的話
[50:52.94 - 50:53.94] 其他應用
[50:53.94 - 50:54.94] 其實也會
[50:54.94 - 50:55.94] 需要同樣的問題
[50:55.94 - 50:56.94] 簡單
[50:56.94 - 50:57.94] 簡單其實這麼說
[50:57.94 - 50:58.94] 其實這件事情
[50:58.94 - 50:59.94] 本來剛剛說的
[50:59.94 - 51:00.94] 就不同
[51:00.94 - 51:01.94] 接著這個
[51:01.94 - 51:02.94] 經驗過程
[51:02.94 - 51:03.94] 它下階
[51:03.94 - 51:04.94] 很自然
[51:04.94 - 51:05.94] 就是把我們
[51:05.94 - 51:06.94] 都物理的定律考上進去
[51:06.94 - 51:07.94] 其實可以幫助我們
[51:07.94 - 51:08.94] 有機會做更多的
[51:08.94 - 51:09.94] 比如說物理
[51:09.94 - 51:10.94] 愛的很多的應用
[51:10.94 - 51:11.94] 更多價值
[51:11.94 - 51:12.94] 這個其實也是
[51:12.94 - 51:13.94] 這個其實是
[51:13.94 - 51:14.94] 從應用短
[51:14.94 - 51:15.94] 還有一個
[51:15.94 - 51:16.94] 很重要的點
[51:16.94 - 51:17.94] 其實我
[51:17.94 - 51:18.94] 當時有這個
[51:18.94 - 51:19.94] 國客中網友
[51:19.94 - 51:20.94] 這樣的一種
[51:20.94 - 51:21.94] 一種隱匯的表示
[51:21.94 - 51:22.94] 就是說
[51:22.94 - 51:23.94] 從
[51:23.94 - 51:24.94] 人和愛的關係
[51:24.94 - 51:25.94] 的變化
[51:25.94 - 51:26.94] 其實我們也在探索
[51:26.94 - 51:27.94] 這個不同
[51:27.94 - 51:28.94] 最近其實
[51:28.94 - 51:29.94] 應該知道
[51:29.94 - 51:30.94] 其實也是
[51:30.94 - 51:31.94] 最近幾個月的事
[51:31.94 - 51:32.94] 就自從
[51:32.94 - 51:33.94] 愛愛開始
[51:33.94 - 51:35.94] 專注點是寫代碼
[51:35.94 - 51:36.94] 這個可以讓我們
[51:36.94 - 51:37.94] 愛愛扣領身爪
[51:37.94 - 51:38.94] 就今天應該
[51:38.94 - 51:39.94] 所有的問題
[51:39.94 - 51:40.94] 大家關注
[51:40.94 - 51:41.94] 愛愛扣領了
[51:41.94 - 51:42.94] 然後發生代碼之後
[51:42.94 - 51:43.94] 它其實
[51:43.94 - 51:44.94] 一定程度開
[51:44.94 - 51:45.94] 有一點自我眼睛的能力
[51:45.94 - 51:46.94] 這樣的話
[51:46.94 - 51:47.94] 它其實
[51:47.94 - 51:48.94] 包括有交往工具的能力
[51:48.94 - 51:49.94] 有些
